,0,1,2,3,4,5,6
0,"Wargentinsgatan 7, våning 5 / 5",2 291 kr/mån,40 m²   2 rum,100 000 kr/m²,Såld 26 februari 2021,Slutpris 4 000 000 kr,+9 %
1,"Östhammarsgatan 70B, 3 tr",2 238 kr/mån,35 m²   2 rum,108 857 kr/m²,Såld 26 februari 2021,Slutpris 3 810 000 kr,+7 %
2,"Alströmergatan 32B, våning 4 / 4",1 906 kr/mån,38 m²   2 rum,95 395 kr/m²,Såld 26 februari 2021,Slutpris 3 625 000 kr,+27 %
3,Tjärhovsgatan 22,2 352 kr/mån,20 m²   1 rum,115 000 kr/m²,Såld 26 februari 2021,Slutpris 2 300 000 kr,+20 %
4,"Timmermansgatan 37, 3 tr.",1 920 kr/mån,35 m²   2 rum,108 571 kr/m²,Såld 26 februari 2021,Slutpris 3 800 000 kr,+11 %
5,Kristinebergsvägen 3,2 036 kr/mån,36 m²   2 rum,98 611 kr/m²,Såld 26 februari 2021,Slutpris 3 550 000 kr,+18 %
6,Helgagatan 36I,2 245 kr/mån,37 m²   2 rum,98 649 kr/m²,Såld 26 februari 2021,Slutpris 3 650 000 kr,+14 %
7,Sven Rinmans gata 4,1 891 kr/mån,29 m²   1 rum,113 793 kr/m²,Såld 26 februari 2021,Slutpris 3 300 000 kr,+10 %
8,"Fleminggatan 26, vån 5",1 698 kr/mån,40 m²   2 rum,92 750 kr/m²,Såld 25 februari 2021,Slutpris 3 710 000 kr,+2 %
9,Sveavägen 121B Gårdsläge,1 633 kr/mån,"34 m²   1,5 rum",102 941 kr/m²,Såld 25 februari 2021,Slutpris 3 500 000 kr,+14 %
10,"Västmannagatan 76, 4 tr",2 204 kr/mån,39 m²   1 rum,91 026 kr/m²,Såld 25 februari 2021,Slutpris 3 550 000 kr,+11 %
11,Tavastgatan 13,2 317 kr/mån,32 m²   1 rum,106 250 kr/m²,Såld 25 februari 2021,Slutpris 3 400 000 kr,+14 %
12,Strålgatan 8,2 648 kr/mån,"38 m²   1,5 rum",81 579 kr/m²,Såld 25 februari 2021,Slutpris 3 100 000 kr,+17 %
13,"Östgötagatan 87B, 1,5 tr",1 202 kr/mån,39 m²   2 rum,92 949 kr/m²,Såld 25 februari 2021,Slutpris 3 625 000 kr,+8 %
14,Klippgatan 14H,1 737 kr/mån,36 m²   2 rum,90 278 kr/m²,Såld 25 februari 2021,Slutpris 3 250 000 kr,+15 %
15,Skånegatan 59,1 389 kr/mån,33 m²   2 rum,112 121 kr/m²,Såld 25 februari 2021,Slutpris 3 700 000 kr,+9 %
16,"Kungsklippan 11, 3tr",1 895 kr/mån,24 m²   1 rum,112 083 kr/m²,Såld 25 februari 2021,Slutpris 2 690 000 kr,+5 %
17,Storskärsgatan 3,1 362 kr/mån,28 m²   1 rum,112 500 kr/m²,Såld 25 februari 2021,Slutpris 3 150 000 kr,+17 %
18,"Gambrinusgatan 5, 5 tr",2 186 kr/mån,38 m²   2 rum,100 000 kr/m²,Såld 25 februari 2021,Slutpris 3 800 000 kr,+13 %
19,Kammakargatan 19,2 103 kr/mån,36 m²   2 rum,102 083 kr/m²,Såld 25 februari 2021,Slutpris 3 675 000 kr,+8 %
20,Torsgatan 42C,1 879 kr/mån,"34,5 m²   1 rum",107 971 kr/m²,Såld 25 februari 2021,Slutpris 3 725 000 kr,+19 %
21,"Brahegatan 58, 3Tr",1 123 kr/mån,22 m²   1 rum,127 727 kr/m²,Såld 24 februari 2021,Slutpris 2 810 000 kr,+17 %
22,"Hubertusgatan 4, 1 tr",2 186 kr/mån,35 m²   2 rum,82 857 kr/m²,Såld 24 februari 2021,Slutpris 2 900 000 kr,+12 %
23,Kungsklippan 11,1 829 kr/mån,23 m²   1 rum,103 261 kr/m²,Såld 24 februari 2021,Slutpris 2 375 000 kr,+13 %
24,"Skånegatan 105B, 3 tr",2 512 kr/mån,"32,5 m²   1 rum",100 615 kr/m²,Såld 24 februari 2021,Slutpris 3 270 000 kr,+19 %
25,Furusundsgatan 4,1 688 kr/mån,24 m²   1 rum,102 083 kr/m²,Såld 24 februari 2021,Slutpris 2 450 000 kr,+11 %
26,Torsgatan 50,1 298 kr/mån,33 m²   2 rum,109 848 kr/m²,Såld 24 februari 2021,Slutpris 3 625 000 kr,+18 %
27,"Katarina bangata 67A, 2tr",1 578 kr/mån,28 m²   1 rum,101 786 kr/m²,Såld 24 februari 2021,Slutpris 2 850 000 kr,+8 %
28,"Gästrikegatan 20, 2 tr",1 514 kr/mån,"33,5 m²   1 rum",109 254 kr/m²,Såld 24 februari 2021,Slutpris 3 660 000 kr,+17 %
29,"Linnégatan 20, 2tr",1 705 kr/mån,"29,2 m²   1 rum",120 719 kr/m²,Såld 24 februari 2021,Slutpris 3 525 000 kr,+16 %
30,"Alströmergatan 32H, 3 tr.",1 524 kr/mån,28 m²   1 rum,107 143 kr/m²,Såld 24 februari 2021,Slutpris 3 000 000 kr,+18 %
31,Lundagatan 48B,1 503 kr/mån,28 m²   1 rum,104 464 kr/m²,Såld 24 februari 2021,Slutpris 2 925 000 kr,-1 %
32,"Bergsundsgatan 12, 2 tr (5 tr från gård)",1 509 kr/mån,"25,5 m²   1 rum",108 824 kr/m²,Såld 24 februari 2021,Slutpris 2 775 000 kr,+33 %
33,"Sibyllegatan 31, 5 tr",882 kr/mån,28 m²   1 rum,125 893 kr/m²,Såld 24 februari 2021,Slutpris 3 525 000 kr,+15 %
34,Strålgatan 21,2 051 kr/mån,28 m²   1 rum,82 143 kr/m²,Såld 24 februari 2021,Slutpris 2 300 000 kr,+8 %
35,Wollmar Yxkullsgatan 29,843 kr/mån,29 m²   1 rum,114 138 kr/m²,Såld 23 februari 2021,Slutpris 3 310 000 kr,+15 %
36,"Ingemarsgatan 3B, 1tr",1 701 kr/mån,31 m²   1 rum,101 613 kr/m²,Såld 23 februari 2021,Slutpris 3 150 000 kr,+11 %
37,"Strålgatan 23, 1 tr",2 548 kr/mån,36 m²   2 rum,77 778 kr/m²,Såld 23 februari 2021,Slutpris 2 800 000 kr,+9 %
38,"Hallandsgatan 50A, 5 tr",1 703 kr/mån,30 m²   1 rum,105 833 kr/m²,Såld 23 februari 2021,Slutpris 3 175 000 kr,+14 %
39,"Ernst Ahlgrens Väg 2, 3tr",1 712 kr/mån,29 m²   1 rum,93 793 kr/m²,Såld 23 februari 2021,Slutpris 2 720 000 kr,+20 %
40,Hallandsgatan 50A,2 024 kr/mån,34 m²   2 rum,95 588 kr/m²,Såld 23 februari 2021,Slutpris 3 250 000 kr,+14 %
41,Grevgatan 47,510 kr/mån,18 m²   1 rum,158 333 kr/m²,Såld 23 februari 2021,Slutpris 2 850 000 kr,+23 %
42,"Strålgatan 23, 3 TR",2 362 kr/mån,33 m²   2 rum,90 909 kr/m²,Såld 23 februari 2021,Slutpris 3 000 000 kr,+15 %
43,Nytorgsgatan 15A,1 238 kr/mån,22 m²   1 rum,118 182 kr/m²,Såld 23 februari 2021,Slutpris 2 600 000 kr,+18 %
44,"Banérgatan 50, egen ingång",1 895 kr/mån,40 m²   1 rum,90 000 kr/m²,Såld 23 februari 2021,Slutpris 3 600 000 kr,+19 %
45,"Erstagatan 22, 4 tr",1 638 kr/mån,"25,7 m²   1 rum",109 728 kr/m²,Såld 23 februari 2021,Slutpris 2 820 000 kr,+15 %
46,"Alströmergatan 23, 4tr",1 196 kr/mån,29 m²   1 rum,106 897 kr/m²,Såld 22 februari 2021,Slutpris 3 100 000 kr,
47,Torsgatan 29,1 463 kr/mån,23 m²   1 rum,126 087 kr/m²,Såld 22 februari 2021,Slutpris 2 900 000 kr,
48,Helgagatan 36I,2 190 kr/mån,"36,5 m²   1 rum",97 260 kr/m²,Såld 22 februari 2021,Slutpris 3 550 000 kr,
49,"Kronobergsgatan 19 A, 1 tr",1 742 kr/mån,35 m²   1 rum,106 429 kr/m²,Såld 22 februari 2021,Slutpris 3 725 000 kr,
